SAMPLEID,SC1,SC1_1,SC2,SC2A,SC3,SC3A,SC7,SC8_1,SC8_2,SC9,SC19,SC20,SC20A,SC20_1,SC20_2,SC20_3,SC21,SC22,SC23,SC24,SC25,SC25A,SC26,SC26A,SC26B,SC27A,SC27B,SC27C,SC27D,SC27E,SC27F,SC28,SC29,SC29A,SC30,SC31,SC32,SC33,SC33_1,SC33_2,SC33_3,SC34,SC35
3210004909-01,44,2,4,4,2,5,2,1,1,3,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3210004911-01,50,1,23,4,1,,3,3,2,4,1,1,,1,5,1,1,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004912-01,24,1,2,3,5,5,1,4,3,3,1,1,,1,5,5,5,1,1,5,1,1,1,,,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,1
3210004913-01,62,1,26,4,1,,1,4,4,4,1,1,,1,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004914-01,40,2,10,4,4,5,1,1,1,3,1,1,,1,1,,1,1,1,5,5,,1,,,5,1,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3210004915-01,27,2,10,4,5,5,3,3,3,1,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004916-01,51,2,2,4,1,,3,4,3,5,1,5,5,5,5,5,1,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004917-01,34,2,9,4,1,,2,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3210004918-01,28,2,10,4,1,,2,3,1,4,1,5,5,1,5,5,1,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
3210004919-01,21,2,3,4,5,5,3,2,1,2,1,1,,1,1,,1,1,1,1,1,1,5,1,,5,5,5,5,5,5,5,1,,5,5,1,5,5,1,,5,5
3210004920-01,34,2,14,4,1,,3,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004921-01,81,2,45,4,4,5,3,3,4,2,1,1,,5,5,5,1,1,5,5,1,5,1,,,1,1,5,5,5,5,1,5,8,1,5,1,5,5,5,5,8,1
3210004926-01,57,1,8,4,2,5,2,1,1,3,1,5,5,5,5,5,1,1,1,5,1,5,5,5,5,5,1,5,1,1,5,1,1,,1,1,5,5,5,5,5,5,1
3210004927-01,33,2,9,3,2,5,2,3,3,1,1,1,,1,1,,1,1,5,5,1,5,1,,,1,1,1,5,1,1,1,1,,1,1,1,1,1,,,5,5
3210004928-01,37,2,37,4,5,1,1,3,4,2,1,1,,1,1,,1,1,1,5,1,1,1,,,1,1,1,1,1,1,1,5,1,1,5,1,5,1,,,1,5
3210004929-01,63,2,16,4,4,5,3,5,3,4,1,5,5,1,5,5,1,1,1,5,5,,1,,,1,1,5,5,5,5,1,5,5,5,5,5,5,1,,,1,5
3210004931-01,20,1,17,3,5,5,2,2,3,1,1,1,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004932-01,65,2,5,4,1,,3,3,3,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5
3210004933-01,39,1,10,4,1,,2,2,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004935-01,50,1,3,4,1,,1,3,3,3,1,5,5,5,5,5,1,1,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,8,8,5,5,5,5,5,5
3210004936-01,26,1,13,4,5,5,3,3,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5
3210004938-01,45,1,44,4,5,5,2,3,1,3,1,1,,5,5,5,1,1,1,5,1,5,5,5,1,1,1,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5
3210004939-01,43,2,8,4,5,5,1,2,2,1,1,1,,5,5,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004940-01,27,1,20,4,5,5,3,3,4,4,1,5,5,1,5,5,5,1,5,5,1,5,5,1,,5,5,5,5,5,5,5,1,,5,1,1,1,5,5,5,1,5
3210004941-01,30,2,11,4,1,,3,3,3,3,1,1,,5,5,5,1,1,1,5,1,5,1,,,5,5,5,5,5,1,1,5,5,5,1,5,5,5,5,5,5,5
3210004941-02,40,1,24,4,1,,3,3,3,1,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,1,5,5,5,1,8,1,5,5,5,5,5,5,5,5,5,5,5
3210004942-01,48,2,17,4,1,,3,4,1,4,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,1,5,5,5,1,1,1,1,,5,5,5,5,5,5,5,5,5
3210004943-01,22,2,22,4,5,5,3,3,1,1,1,1,,1,5,5,5,5,5,5,1,5,5,5,5,1,5,1,5,5,8,1,5,5,5,5,5,5,5,5,5,5,5
3210004944-01,45,2,23,4,5,5,1,3,1,4,1,5,5,1,5,1,1,5,1,5,5,,5,5,5,5,5,5,5,1,8,1,5,5,5,5,5,5,5,5,5,5,5
3210004946-01,46,1,7,4,2,1,1,4,4,3,1,5,5,5,5,5,5,1,5,5,5,,5,5,5,5,5,5,5,5,8,5,5,1,5,5,5,5,5,5,5,5,5
3210004946-02,39,2,4,4,2,1,1,1,1,3,1,5,5,5,5,5,1,1,1,5,5,,1,,,1,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3210004947-01,40,1,12,4,1,,3,3,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004948-01,45,1,13,4,1,,2,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3210004949-01,22,1,20,4,5,5,3,3,3,2,1,1,,5,5,5,1,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004950-01,42,1,28,4,2,1,2,3,1,1,1,5,5,1,1,,1,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004950-02,33,2,10,4,5,1,1,4,3,3,1,5,1,5,1,,1,1,1,5,1,1,1,,,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,1,5,1
3210004951-01,22,1,22,4,5,5,1,3,3,3,1,1,,1,5,1,1,1,1,5,1,5,1,,,5,5,5,5,1,5,1,1,,5,1,1,1,1,,,5,5
3210004952-01,67,2,45,4,4,5,3,4,3,4,1,5,5,5,5,5,1,1,5,5,1,5,1,,,5,5,1,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5
3210004954-01,28,2,7,3,1,,1,2,3,1,1,1,,1,1,,1,1,1,5,1,1,1,,,1,5,1,1,5,5,1,5,5,5,1,1,5,5,5,5,5,5
3210004955-01,56,2,32,4,4,5,3,1,3,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,5,5,1,1,1,5,1,5,1,1,5,5,5,5,5,5,5,5
3210004956-01,61,2,53,4,4,1,3,4,3,4,1,5,1,5,5,5,1,1,5,5,5,,1,,,5,1,5,1,1,1,1,5,5,5,5,1,5,5,5,5,5,5
3210004956-02,76,1,5,3,4,1,3,1,1,3,1,5,5,5,5,5,1,1,5,5,1,1,1,,,5,1,1,1,1,1,1,1,,1,5,5,5,5,5,1,5,5
3210004958-01,34,1,4,4,3,5,3,3,3,3,1,5,5,5,5,5,5,1,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5
3210004959-01,28,1,8,4,5,1,3,4,3,4,1,5,5,1,5,5,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004960-01,30,1,6,4,1,,1,3,3,4,1,5,1,1,5,5,1,1,5,5,1,1,1,,,1,1,1,5,1,1,1,5,1,1,5,5,5,1,,,5,5
3210004963-01,24,2,15,4,1,,3,3,3,3,1,5,5,1,5,5,5,5,5,5,5,,5,5,5,1,5,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5
3210004964-01,24,1,13,4,5,5,3,3,1,4,1,5,1,5,5,5,1,1,5,5,5,,5,5,5,1,5,5,5,5,5,1,1,,5,5,5,5,5,5,5,5,5
3210004965-01,45,2,3,4,1,,3,1,1,3,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,1,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3210004966-01,21,2,16,4,5,5,3,3,1,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5
3210004968-01,41,2,16,4,1,,3,3,3,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3210004969-01,36,1,3,4,1,,2,4,3,3,1,5,5,5,1,,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004971-01,56,2,23,4,5,5,3,2,2,1,1,5,5,5,5,5,5,5,5,5,5,,5,1,,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3210004975-01,30,2,17,4,2,5,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3210004976-01,44,2,7,4,1,,2,3,3,4,1,1,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004977-01,26,2,3,4,1,,3,3,3,3,1,1,,5,5,1,1,1,5,5,1,5,1,,,5,1,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5
3210004979-01,35,2,12,4,1,,3,2,2,3,1,1,,1,1,,1,1,1,5,5,,5,1,,5,1,5,5,5,5,1,1,,5,5,5,5,5,5,5,5,5
3210004986-01,39,1,21,4,1,,2,2,3,3,1,5,5,5,5,5,1,5,5,5,5,,5,1,,1,5,1,5,5,8,1,5,5,5,5,5,5,5,5,5,5,5
3210004987-01,38,2,8,4,2,5,2,4,4,3,1,1,,1,1,,1,1,1,5,1,1,1,,,1,5,1,1,1,1,1,1,,5,8,8,5,5,5,1,5,1
3210004988-01,41,2,30,4,2,1,3,4,3,2,1,1,,1,1,,1,1,1,5,1,5,1,,,1,5,5,1,1,1,1,5,5,5,8,1,1,5,5,5,5,5
3210004989-01,63,2,10,4,4,5,2,5,4,4,1,5,5,5,5,5,1,1,1,5,5,,1,,,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1
3210004991-01,35,2,16,4,1,,1,4,4,4,1,1,,1,5,1,1,1,1,5,1,5,1,,,5,5,5,1,1,5,1,5,1,5,1,5,5,5,5,5,5,1
3210004992-01,21,2,7,4,5,5,3,3,3,2,1,1,,5,1,,1,1,1,5,1,1,1,,,5,1,5,5,5,5,1,1,,5,5,5,5,5,5,5,1,1
3210004994-01,64,1,15,4,1,,2,4,4,3,1,5,5,5,5,5,5,5,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3210004996-01,56,2,15,4,4,5,3,3,3,3,1,5,5,5,1,,5,5,5,5,5,,1,,,1,5,5,5,5,5,1,5,1,5,5,1,5,5,5,5,5,5
3210004997-01,40,2,8,4,2,5,3,1,2,3,1,5,5,1,5,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5
3210004998-01,69,1,38,4,1,,2,4,3,3,1,5,5,5,5,5,1,1,1,5,1,5,5,5,1,5,5,5,5,1,5,1,5,5,5,1,5,5,5,5,5,5,5
3210004998-02,67,2,38,4,1,,3,3,3,3,1,5,5,5,5,5,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,5,5,1,8,8,5,5,5,5,1,5
3210004999-01,77,2,27,4,5,5,2,5,4,4,1,5,5,1,1,,1,1,1,5,1,5,1,,,5,1,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5
3210005000-01,37,2,35,4,5,5,1,3,3,1,1,5,5,1,5,5,1,1,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005001-01,34,2,11,4,5,5,1,4,4,2,1,1,,1,1,,1,1,1,1,1,1,1,,,5,5,5,5,1,5,1,1,,1,1,1,1,1,,,5,1
3211005007-01,55,1,25,4,1,,3,4,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005008-01,32,1,23,4,5,5,3,1,1,3,1,5,5,5,5,5,1,1,1,5,5,,1,,,1,5,5,5,5,5,1,1,,5,5,5,5,5,5,5,5,5
3211005009-01,57,2,25,4,1,,3,2,3,3,1,1,,5,1,,1,1,1,5,5,,1,,,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5
3211005010-01,66,1,26,4,1,,3,3,3,1,1,1,,5,5,5,5,1,5,5,5,,5,5,1,1,5,5,5,5,8,1,5,1,1,5,5,5,5,5,5,5,5
3211005011-01,36,2,24,4,5,5,3,3,3,3,1,1,,1,1,,5,5,5,5,5,,5,5,5,1,5,5,5,5,8,1,5,1,5,5,5,5,5,5,5,5,5
3211005012-01,32,2,25,4,5,5,3,3,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5
3211005013-01,34,2,26,4,5,5,3,3,3,4,1,5,1,5,5,1,1,1,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5
3211005014-01,18,2,14,4,5,5,3,3,1,3,1,5,5,5,1,,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,1,,5,5,5,5,5,5,5,5,5
3211005015-01,47,2,2,4,1,,3,1,1,3,1,1,,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3211005021-01,30,1,28,4,2,5,3,3,3,3,1,1,,5,5,1,5,1,5,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005026-01,18,2,17,4,5,5,3,2,3,3,5,5,5,5,5,5,1,5,5,5,1,5,1,,,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
3211005027-01,19,2,3,4,5,5,3,2,2,3,1,1,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005028-01,39,2,6,4,1,,3,3,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3211005029-01,53,1,15,4,1,,2,3,2,2,1,1,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5,5,5,5
3211005030-01,64,1,37,4,1,,2,3,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5
3211005030-02,49,2,8,4,1,,2,4,4,4,1,1,,1,1,,1,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3211005033-01,40,2,40,4,5,5,3,5,3,4,1,1,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005034-01,55,1,22,4,1,,2,2,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005034-02,55,2,22,4,1,,3,4,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005035-01,47,2,5,4,1,,3,3,3,1,1,1,,5,5,5,5,1,5,5,5,,5,5,5,5,5,1,5,5,1,1,1,,5,1,1,1,1,,,5,5
3211005036-01,22,1,3,3,5,5,3,1,1,3,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005039-01,66,2,27,4,1,,3,5,3,3,1,5,5,5,5,5,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005040-01,43,2,2,4,1,,1,1,1,3,1,1,,5,1,,1,1,1,5,1,5,1,,,1,5,5,5,1,5,1,1,,5,5,5,5,5,5,5,5,5
3211005041-01,68,1,4,4,1,,2,3,4,3,1,1,,5,5,5,1,1,1,5,1,5,1,,,5,5,1,1,1,5,1,1,,1,5,5,5,5,5,5,5,5
3211005042-01,53,1,18,4,1,,1,3,3,4,1,5,5,1,1,,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,1,,5,5,5,5,5,5,5,5,5
3211005044-01,23,1,6,4,5,5,3,2,1,1,1,5,5,1,1,,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005045-01,30,2,1,4,5,5,3,4,3,2,1,5,1,5,5,5,5,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5
3211005046-01,40,1,6,4,1,,1,2,1,3,1,5,5,5,5,5,1,1,5,5,5,,1,,,5,5,5,5,1,5,1,5,5,5,5,5,5,1,,,5,5
3211005048-01,62,2,5,4,1,,2,3,4,3,1,5,5,5,5,5,5,1,5,5,1,5,1,,,1,1,5,1,1,5,1,5,1,5,5,1,1,1,,,5,5
3211005049-01,25,2,24,4,5,5,3,2,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005050-01,53,2,18,4,1,,2,4,3,2,1,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005050-02,50,1,25,4,1,,3,3,3,2,1,5,5,1,1,,1,1,1,5,1,5,1,,,1,5,5,5,5,5,1,1,,5,1,5,5,5,5,5,5,5
3211005051-01,26,2,20,4,5,5,3,1,3,2,1,5,5,5,5,5,1,1,1,5,5,,1,,,1,5,5,1,5,5,1,5,5,1,5,1,1,5,5,5,5,5
3211005052-01,24,2,24,4,4,5,3,4,5,3,1,5,5,1,5,1,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5
3211005054-01,40,1,2,4,1,,3,3,3,3,1,5,5,5,5,5,1,1,1,5,1,1,1,,,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
3211005055-01,64,1,20,4,4,5,1,1,1,3,1,5,5,1,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,,5,1,1,1,1,,,5,5
3211005058-01,31,1,8,4,1,,3,4,4,4,1,1,,1,1,,5,5,5,5,5,,5,5,5,5,5,1,5,5,5,1,1,,5,5,5,5,5,5,5,5,5
3211005059-01,33,2,5,4,5,1,1,2,4,3,1,1,,1,5,5,1,1,1,5,1,1,1,,,5,5,1,5,5,1,1,5,5,5,8,8,8,5,5,5,8,5
3211005059-02,32,1,32,4,5,1,2,4,4,2,1,5,5,1,1,,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,5,5
3211005061-01,48,2,6,4,4,5,3,5,1,2,1,5,5,5,5,5,1,1,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005062-01,42,2,15,4,2,5,3,4,3,4,1,1,,1,5,5,1,1,1,5,1,1,1,,,1,5,1,5,5,5,1,5,5,1,5,5,5,5,5,5,8,5
3211005062-02,34,1,4,4,1,,3,5,3,3,1,5,5,1,1,,1,1,5,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5
3211005063-01,39,2,2,4,1,,3,2,1,1,1,5,5,5,1,,1,1,1,5,1,1,1,,,1,5,5,5,1,5,1,1,,1,5,5,5,5,5,1,1,1
3211005064-01,20,2,1,3,2,5,1,4,4,5,1,5,5,1,1,,1,1,5,5,1,5,5,5,1,1,5,5,5,5,5,1,5,5,5,5,5,5,1,,,5,5
3211005065-01,45,1,20,4,1,,1,1,1,3,1,5,5,5,5,5,1,5,5,5,5,,5,1,,1,1,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5
3211005065-02,47,2,21,4,1,,2,3,3,4,1,5,5,5,5,5,5,1,5,5,5,,5,5,1,5,5,5,5,5,1,1,5,5,5,1,5,5,5,5,5,1,5
3211005066-01,21,1,1,4,5,1,3,3,1,2,1,5,5,5,1,,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005067-01,43,1,18,3,5,1,2,4,1,3,1,5,5,1,1,,1,1,5,5,5,,1,,,1,5,5,5,5,5,1,5,5,5,1,5,1,5,5,1,5,1
3211005067-02,47,2,18,3,2,1,3,4,4,2,1,1,,5,5,5,1,1,5,5,5,,5,5,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1
3211005068-01,59,1,2,4,2,5,3,3,1,2,1,5,5,5,5,5,1,1,5,5,5,,5,5,1,5,5,5,5,5,5,5,1,,5,5,5,5,5,5,5,5,1
3211005069-01,40,1,37,4,1,,3,2,2,3,1,5,5,5,1,,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005070-01,32,1,3,4,1,,3,3,1,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005071-01,66,2,31,4,1,,3,3,1,3,1,1,,1,5,5,1,1,1,5,1,5,5,1,,5,5,5,1,1,5,1,5,5,1,1,5,5,5,5,5,5,5
3211005072-01,19,1,10,3,5,5,3,4,2,2,1,5,5,5,5,5,1,1,5,5,1,1,1,,,5,5,5,5,5,5,5,1,,5,5,5,1,1,,,5,5
3211005074-01,49,2,18,4,2,5,1,3,1,3,1,5,5,5,5,1,1,1,1,5,1,5,1,,,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1,1
3211005075-01,40,2,30,4,1,,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5
3211005076-01,18,2,3,3,5,5,3,3,1,3,1,5,5,5,5,1,5,1,5,5,5,,1,,,5,5,1,5,5,5,1,5,1,5,5,5,1,5,5,5,5,5
3211005077-01,27,2,1,4,5,5,3,3,3,3,1,5,5,5,5,5,1,1,5,5,5,,5,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005078-01,39,1,19,4,1,,3,3,3,3,1,5,5,5,5,1,5,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5
3211005079-01,48,1,15,4,1,,2,1,2,1,1,5,5,1,1,,1,1,1,5,5,,1,,,5,1,5,5,5,8,1,5,5,5,5,5,5,5,5,5,5,5
3211005082-01,42,1,1,3,1,,3,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005082-02,44,2,1,3,1,,3,3,3,3,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5
3211005083-01,33,2,25,4,4,5,1,4,4,1,1,1,,1,1,,1,1,1,1,1,1,1,,,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,1,1
3211005084-01,62,2,17,1,1,,3,4,3,3,1,5,5,5,5,5,1,1,1,5,5,,1,,,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,1,5
3211005084-02,65,1,17,1,1,,3,3,3,3,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,5,1,1,1,,5,5,5,5,5,5,5,5,5
3211005085-01,37,2,19,3,2,1,1,1,4,4,1,5,5,1,1,,1,5,5,5,5,,5,5,5,1,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5
3211005087-01,31,2,20,4,1,,1,4,3,3,1,1,,1,1,,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,1,,5,1,5,5,5,5,5,5,5
3211005088-01,52,2,13,4,1,,3,4,3,4,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005090-01,58,2,20,4,5,5,1,1,3,1,1,1,,5,5,1,1,1,5,5,1,5,5,5,5,1,5,5,1,1,8,1,5,8,1,8,5,5,5,5,5,5,1
3211005091-01,23,1,1,4,1,,3,4,4,3,1,1,,1,5,5,1,1,1,5,5,,1,,,1,5,5,5,1,5,1,5,1,1,1,1,5,1,,,5,5
3211005092-01,74,2,22,4,4,5,3,2,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3211005093-01,31,1,5,4,5,1,1,3,3,4,1,5,5,1,1,,1,1,1,1,1,1,1,,,5,5,5,5,5,5,5,5,1,5,5,1,5,1,,,5,5
3211005094-01,54,1,16,4,1,,1,3,3,3,1,5,5,1,5,5,5,5,5,5,5,,5,5,5,1,5,1,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5
3211005094-02,46,2,16,4,1,,3,3,3,3,1,1,,5,5,5,1,1,1,5,5,,1,,,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5
3211005096-01,23,2,2,4,5,5,3,3,1,3,1,1,,5,5,5,1,1,1,5,5,,1,,,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3211005098-01,42,2,10,3,1,,1,4,1,3,1,5,5,1,5,5,5,5,5,5,5,,5,1,,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3211005099-01,39,2,38,4,1,,2,4,3,3,1,1,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,1,,1,5,5,5,5,5,1,5,5
3211005100-01,25,2,20,4,1,,1,3,2,2,1,1,,1,1,,1,1,1,5,1,1,1,,,5,5,1,1,1,5,1,1,,5,5,5,5,1,,,5,1
3211005101-01,41,1,27,4,5,5,1,3,3,3,1,5,5,1,1,,1,5,5,5,1,5,1,,,1,1,5,5,1,5,1,5,5,5,5,1,5,5,5,1,5,5
3211005104-01,63,1,50,4,1,,2,4,4,3,1,1,,5,5,5,5,1,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005104-02,55,2,20,4,1,,1,2,1,3,1,5,5,5,5,5,5,1,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3211005106-01,35,1,6,4,5,1,2,3,3,3,1,1,,5,5,5,5,5,5,5,5,,1,,,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3211005107-01,18,1,14,4,5,5,3,3,3,3,1,5,5,5,5,1,5,1,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
