SAMPLEID,SC1,SC1_1,SC2,SC2A,SC3,SC3A,SC7,SC8_1,SC8_2,SC9,SC19,SC20,SC20A,SC20_1,SC20_2,SC20_3,SC21,SC22,SC23,SC24,SC25,SC25A,SC26,SC26A,SC26B,SC27A,SC27B,SC27C,SC27D,SC27E,SC27F,SC28,SC29,SC29A,SC30,SC31,SC32,SC33,SC33_1,SC33_2,SC33_3,SC34,SC35
3201000077-01,72,1,45,4,1,,3,3,2,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000078-01,59,1,6,4,1,,3,4,5,3,1,1,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000078-02,58,2,8,4,1,,2,4,2,3,1,5,5,5,5,5,5,5,1,5,5,,5,5,1,1,5,5,5,5,5,1,5,8,5,5,5,1,5,5,1,1,5
3201000079-01,25,2,3,4,1,,3,4,3,2,1,1,,5,5,5,1,1,5,5,1,5,1,,,1,1,1,1,1,1,1,1,,1,1,5,1,1,,,5,1
3201000079-02,31,1,4,4,1,,3,2,2,3,1,5,5,1,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000081-01,40,2,3,4,1,,3,2,1,3,1,1,,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000081-02,43,1,3,4,1,,3,2,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000082-01,32,2,4,4,1,,3,1,3,1,1,1,,5,1,,1,1,5,5,5,,5,5,5,5,5,5,5,1,5,1,5,1,1,1,5,5,1,,,5,1
3201000083-01,70,2,32,4,1,,2,4,4,4,1,5,5,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000084-01,38,2,5,4,3,5,2,3,3,3,1,5,5,1,5,1,1,1,5,5,5,,5,5,5,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000085-01,62,1,12,4,1,,1,2,2,4,1,5,1,5,1,,5,1,1,5,1,5,1,,,5,5,5,5,1,1,1,1,,5,5,5,5,5,5,5,5,5
3201000086-01,50,1,30,4,4,5,1,3,3,4,1,5,5,5,5,1,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,5,1
3201000089-01,18,1,17,4,5,5,3,2,2,3,1,5,5,5,5,5,5,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000091-01,50,2,10,4,1,,3,3,2,4,1,5,5,5,5,5,5,5,1,5,5,,1,,,1,5,5,5,5,8,1,5,5,1,5,5,5,5,5,5,5,5
3201000092-01,40,2,6,4,1,,3,4,3,3,1,5,5,5,5,5,1,1,5,5,5,,1,,,5,5,1,1,1,5,1,1,,1,8,8,5,5,5,5,5,1
3201000094-01,57,2,31,4,1,,3,4,4,4,1,1,,5,1,,1,1,1,5,1,5,1,,,5,5,5,5,1,5,1,5,5,5,1,5,5,5,5,5,1,1
3201000095-01,33,2,11,4,1,,3,2,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000096-01,47,2,7,4,5,5,1,4,3,4,1,5,5,5,5,5,5,5,5,5,5,,1,,,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000098-01,65,2,39,4,4,5,3,4,3,4,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,8,5,5,5,5,5,5,5,5,5
3201000100-01,22,1,1,3,5,1,1,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000101-01,32,1,20,4,2,5,3,2,2,3,1,1,,1,5,5,1,1,5,5,5,,1,,,1,1,5,5,1,5,1,5,5,5,1,5,1,5,5,5,5,5
3201000102-01,51,1,2,4,1,,3,2,1,1,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000103-01,63,2,5,4,1,,3,1,2,3,1,1,,5,5,1,1,1,5,5,5,,5,1,,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000104-01,27,2,5,4,1,,3,4,3,3,1,5,5,1,5,5,5,5,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000105-01,45,2,9,4,1,,2,2,3,2,1,1,,5,5,5,1,1,5,5,1,5,1,,,1,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5
3201000106-01,25,2,1,4,1,,3,1,1,3,1,1,,5,5,1,1,1,1,5,1,1,1,,,1,5,5,5,5,8,1,5,5,5,5,5,5,5,5,5,5,5
3201000107-01,42,2,8,4,1,,3,2,2,2,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,1,8,1,5,5,5,5,5,5,5,5,5,5,5
3201000109-01,38,2,8,4,5,5,2,3,3,3,1,1,,1,5,5,1,1,1,5,1,5,1,,,1,1,1,1,1,1,1,5,5,1,5,8,8,5,5,5,5,5
3201000110-01,62,2,8,4,1,,2,4,3,3,1,5,1,1,1,,8,8,1,5,1,5,1,,,1,5,5,5,5,5,1,5,5,5,8,8,8,8,5,5,5,5
3201000110-02,67,1,8,4,1,,1,5,4,5,1,5,5,5,5,5,5,5,1,5,5,,1,,,1,1,5,5,5,8,1,5,5,5,5,5,5,8,5,5,5,5
3201000113-01,24,1,20,4,5,5,3,3,3,2,1,5,5,5,5,1,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000114-01,70,2,15,3,4,5,3,4,1,5,1,1,,5,5,5,1,1,1,5,5,,1,,,5,5,5,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5
3201000116-01,52,1,52,4,2,5,1,3,3,3,1,1,,5,5,5,5,1,5,5,5,,1,,,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5
3201000120-01,39,2,3,4,5,5,3,3,3,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,1,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000121-01,29,1,5,4,1,,1,2,4,3,1,5,5,5,1,,1,1,1,5,1,5,1,,,1,5,1,5,1,5,1,1,,5,8,1,1,1,,,5,1
3201000122-01,27,1,4,3,1,,1,4,2,1,1,5,5,5,5,5,5,1,1,5,1,5,1,,,1,1,5,5,5,1,1,5,5,5,1,1,5,5,5,5,1,5
3201000123-01,70,2,4,4,4,5,1,3,3,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,1,5,5,5,5,8,1,5,8,5,8,5,5,5,5,5,5,5
3201000124-01,57,1,10,4,1,,2,3,3,3,1,5,1,5,5,5,1,1,1,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000126-01,67,1,1,4,3,5,2,4,3,4,1,5,5,5,5,1,1,1,1,5,5,,1,,,5,5,1,1,1,5,1,5,5,5,5,5,1,5,5,5,5,5
3201000127-01,30,2,2,4,1,,3,4,3,4,1,5,5,1,5,1,1,1,5,5,5,,5,5,1,1,5,5,5,5,5,1,5,5,5,5,5,1,5,5,1,5,1
3201000128-01,43,2,35,4,1,,1,3,3,2,1,5,5,5,5,1,1,1,5,5,1,1,5,5,5,1,5,5,5,1,5,1,1,,1,5,5,5,1,,,5,5
3201000129-01,55,2,22,4,1,,1,4,3,3,1,5,5,5,5,5,1,1,5,5,1,5,1,,,1,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000131-01,44,2,27,4,3,5,3,3,3,3,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,5,5
3201000132-01,21,2,5,3,5,5,3,1,3,3,1,5,5,5,5,5,1,1,5,5,5,,5,5,5,5,1,5,5,5,1,1,5,1,1,5,5,5,5,5,5,5,1
3201000133-01,47,1,13,4,5,5,3,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000134-01,59,1,38,4,1,,3,4,4,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,,,5,5
3201000135-01,46,1,12,4,1,,1,3,3,3,1,5,5,5,5,5,5,1,1,5,5,,5,5,5,5,5,1,5,5,5,1,1,,5,5,5,5,5,5,5,5,5
3201000136-01,32,2,10,4,5,5,1,3,3,4,1,5,1,1,5,5,1,1,1,5,1,5,1,,,1,1,1,1,1,1,1,5,1,5,5,5,5,5,5,5,5,5
3201000137-01,35,1,2,4,5,1,2,3,3,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000138-01,52,1,23,4,5,1,3,3,3,3,1,1,,5,5,1,1,1,5,5,1,1,5,1,,5,5,5,5,1,8,1,5,1,5,5,5,5,5,5,5,5,5
3201000139-01,26,2,12,3,5,1,1,4,3,4,1,5,5,5,5,5,1,1,1,5,5,,1,,,5,1,5,1,5,8,1,5,1,1,5,5,5,1,,,1,1
3201000141-01,39,2,32,4,1,,3,2,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000142-01,20,2,4,4,5,5,3,2,1,3,1,1,,5,5,5,5,5,5,5,5,,5,5,5,1,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5
3201000143-01,23,2,14,3,1,,3,1,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000144-01,21,2,17,4,5,5,3,2,2,3,1,5,5,1,1,,5,1,5,5,1,1,5,5,1,5,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000145-01,28,1,3,3,5,5,3,4,1,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000147-01,45,2,1,4,4,5,2,3,3,3,1,5,5,5,5,5,5,1,5,5,1,5,5,5,1,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5
3201000148-01,75,2,2,4,4,5,3,4,4,2,1,5,5,5,5,5,1,5,5,5,5,,1,,,5,1,5,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5
3201000151-01,43,2,15,4,5,1,2,5,3,4,1,5,1,5,5,5,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1
3201000152-01,35,2,3,3,5,5,1,1,3,3,1,1,,5,1,,1,1,1,5,1,5,5,5,1,1,1,5,5,5,5,1,5,5,5,5,5,5,1,,,1,5
3201000153-01,36,2,5,4,1,,3,4,5,3,1,5,1,1,5,1,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,8,8,5,5,5,5,5,5
3201000154-01,19,2,19,4,5,5,3,1,3,3,1,5,5,1,1,,5,5,5,5,5,,1,,,5,5,5,5,5,8,5,5,5,5,1,5,1,1,,,8,5
3201000156-01,27,2,4,3,1,,3,3,2,3,1,5,5,5,5,5,5,5,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000160-01,32,1,8,4,1,,2,4,3,4,1,5,1,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5
3201000162-01,45,1,8,4,1,,2,2,2,3,1,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,8,5,5,1,5,8,5,5,5,5,5,5,5
3201000163-01,38,2,38,4,5,5,1,2,4,3,1,1,,1,5,1,5,5,1,5,1,1,5,1,,5,5,5,5,5,5,5,5,5,5,5,5,1,1,,,5,5
3201000164-01,43,2,12,4,3,5,3,4,4,3,1,1,,5,5,5,1,1,1,5,5,,1,,,1,1,5,5,5,5,1,1,,5,5,5,5,5,5,5,5,5
3201000165-01,63,2,15,4,5,5,3,4,1,3,1,1,,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000166-01,41,2,4,4,5,1,1,4,4,1,1,5,5,5,1,,1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5
3201000167-01,24,2,2,4,5,1,3,3,3,3,1,1,,5,5,5,1,1,1,5,1,1,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000167-02,26,1,3,4,5,1,2,3,1,1,1,5,5,5,5,5,5,1,5,5,1,5,1,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3201000169-01,37,1,11,4,1,,1,4,3,2,1,5,5,5,5,5,5,5,5,5,5,,1,,,5,5,1,5,5,5,1,5,5,5,5,5,5,1,,,5,5
3201000171-01,67,1,27,4,1,,3,1,1,4,1,1,,5,5,5,1,1,1,5,1,5,1,,,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5
3201000173-01,35,2,2,4,2,5,3,3,3,3,1,5,5,5,5,5,1,1,1,5,5,,1,,,1,5,5,5,5,5,1,1,,5,5,5,5,5,5,5,5,5
3201000174-01,50,1,23,4,1,,2,4,4,3,1,5,5,5,1,,1,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,1,5
3201000174-02,49,2,23,4,1,,3,1,3,3,1,5,5,5,5,5,1,1,5,5,5,,5,5,5,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5
3201000176-01,51,2,32,4,1,,2,1,1,3,1,5,5,5,5,5,1,5,5,5,5,,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5
3201000177-01,45,2,17,4,1,,2,4,3,1,1,1,,1,1,,5,5,5,5,5,,5,1,,5,1,5,1,5,1,1,5,1,5,5,5,5,5,5,5,5,5
3201000178-01,35,2,8,4,1,,3,4,3,4,1,1,,1,1,,1,1,5,5,5,,1,,,5,5,5,5,5,5,5,5,5,5,5,1,1,1,,,5,5
